City,Latitude,Longitude,Temperature (max),Humidity,Cloudiness,Wind Speed
Ushuaia,-54.8,-68.3,276.15,93,20,1.03
Lüderitz,-26.6481,15.1594,290.12,40,0,5.32
Nikolskoye,59.7035,30.7861,275.37,80,0,3.0
Punta Arenas,-53.15,-70.9167,279.15,93,90,2.06
Butaritari,3.0707,172.7902,301.7,72,52,4.48
Busselton,-33.65,115.3333,289.26,84,100,1.79
Yining,29.0361,114.5636,301.92,51,0,0.78
Burdur,37.7203,30.2908,284.15,62,0,2.06
Carnarvon,-24.8667,113.6333,294.15,46,100,6.17
Airai,-8.9266,125.4092,295.9,48,55,1.71
Puerto Ayora,-0.7393,-90.3518,296.76,82,5,3.09
Port Alfred,-33.5906,26.891,287.83,82,4,6.06
Bengkulu,-3.8004,102.2655,300.19,74,100,0.98
Vaini,-21.2,-175.2,299.15,89,75,5.66
Tromsø,69.6496,18.957,269.15,86,75,1.03
Cape Town,-33.9258,18.4232,287.59,82,0,4.12
Wilmington Island,32.0036,-80.9737,297.15,38,1,3.6
Valparaíso,-33.0393,-71.6273,287.04,87,0,1.54
Mataura,-46.1927,168.8643,285.93,74,93,3.13
Poum,-20.2333,164.0167,298.14,68,99,3.97
Chokurdakh,70.6333,147.9167,267.27,81,9,2.64
Barybino,55.2677,37.8933,283.15,81,20,5.0
Impfondo,1.6381,18.0667,295.11,96,100,1.12
Ponta do Sol,32.6667,-17.1,288.15,58,100,0.89
Sept-Îles,50.2001,-66.3821,278.71,100,75,1.54
East London,-33.0153,27.9116,289.95,71,95,5.59
Dickinson,29.4608,-95.0513,295.93,88,90,2.57
Véroia,40.5233,22.2036,289.82,77,100,0.98
Lagoa,39.05,-27.9833,288.16,74,100,4.66
Vila,42.0304,-8.1588,280.93,93,0,2.06
Linjiang,41.8069,126.9078,281.0,84,100,1.72
Mar del Plata,-38.0023,-57.5575,290.37,88,0,4.12
Port Blair,11.6667,92.75,301.15,83,20,0.46
Bilma,18.6853,12.9164,300.61,6,0,3.83
Barrow,71.2906,-156.7887,267.15,79,90,2.06
Hilo,19.7297,-155.09,302.15,54,75,4.63
Baruun-Urt,46.6806,113.2792,275.55,62,100,4.16
Rikitea,-23.1203,-134.9692,299.22,78,74,8.99
Khanpur,28.6453,70.6567,305.03,22,0,1.68
Oodweyne,9.4092,45.064,292.53,92,100,6.76
Bambous Virieux,-20.3428,57.7575,298.15,78,40,5.14
Qaanaaq,77.484,-69.3632,271.7,57,100,3.36
Faanui,-16.4833,-151.75,300.68,68,97,4.12
Provideniya,64.3833,-173.3,271.18,79,100,2.58
George Town,5.4112,100.3354,300.15,89,20,2.57
São Filipe,14.8961,-24.4956,295.73,75,11,3.4
Jamestown,42.097,-79.2353,278.15,60,90,7.2
Chui,-33.6971,-53.4616,288.64,94,100,3.38
Albany,42.6001,-73.9662,280.93,67,62,1.79
Lukhovitsy,54.9728,39.0361,283.15,100,100,4.24
Mandalī,33.7499,45.5541,299.03,25,2,1.29
Belaya Gora,68.5333,146.4167,271.26,75,100,4.28
Mount Gambier,-37.8333,140.7667,290.15,55,100,5.14
Namatanai,-3.6667,152.4333,302.84,65,41,0.14
Hermanus,-34.4187,19.2345,284.82,79,0,3.31
Upernavik,72.7868,-56.1549,268.85,77,100,1.94
Arraial do Cabo,-22.9661,-42.0278,295.24,65,40,3.43
San Quintín,30.4833,-115.95,292.74,66,0,5.2
Busembatia,0.7697,33.6131,290.52,95,99,1.06
Akdepe,42.0551,59.3788,288.15,51,0,4.12
Cabo San Lucas,22.8909,-109.9124,299.26,34,1,5.14
Dikson,73.5069,80.5464,267.23,92,100,3.9
Sīrjān,29.452,55.6814,288.71,53,96,1.4
Egvekinot,66.3167,-179.1667,266.74,87,100,1.22
Yerbogachën,61.2767,108.0108,275.33,96,100,4.13
Kruisfontein,-34.0033,24.7314,284.04,70,0,2.93
Saint George,37.1041,-113.5841,306.48,10,1,5.66
Kapaa,22.0752,-159.319,296.15,88,90,4.63
Tuktoyaktuk,69.4541,-133.0374,268.15,80,20,3.6
