City,Latitude,Longitude,Temperature (max),Humidity,Cloudiness,Wind Speed,Country,Date
Torbay,47.6666,-52.7314,37.99,100,90,25.32,CA,1619841672
Bengkulu,-3.8004,102.2655,85.3,65,80,4.85,ID,1619841604
Kieta,-6.2167,155.6333,82.98,77,35,2.89,PG,1619841758
Rikitea,-23.1203,-134.9692,78.96,79,79,20.36,PF,1619841627
Tateyama,34.9833,139.8667,68.0,52,75,17.27,JP,1619841727
Qaanaaq,77.484,-69.3632,27.52,52,92,8.52,GL,1619841629
Nuevo Progreso,23.1667,-97.95,75.99,65,96,3.0,MX,1619841867
Ponta do Sol,32.6667,-17.1,57.99,58,100,3.0,PT,1619841621
Mataura,-46.1927,168.8643,55.99,73,65,4.0,NZ,1619841611
Rio Grande,-32.035,-52.0986,60.01,95,0,14.05,BR,1619841767
Ushuaia,-54.8,-68.3,37.4,93,75,59.84,AR,1619841598
Lebu,-37.6167,-73.65,55.76,95,100,17.07,CL,1619841727
Khatanga,71.9667,102.5,33.3,95,100,9.48,RU,1619841685
Araouane,18.9048,-3.5265,78.58,45,96,23.44,ML,1619841868
Provideniya,64.3833,-173.3,27.82,79,100,7.09,RU,1619841630
Port Alfred,-33.5906,26.891,57.78,81,5,12.93,ZA,1619841603
Cape Town,-33.9258,18.4232,57.99,82,0,9.22,ZA,1619841410
Saint-Philippe,-21.3585,55.7679,75.99,73,0,15.12,RE,1619841665
Barrow,71.2906,-156.7887,21.2,79,90,3.44,US,1619841626
Vaini,-21.2,-175.2,78.8,89,75,12.66,TO,1619841605
Guerrero Negro,27.9769,-114.0611,67.41,60,0,17.74,MX,1619841869
Busselton,-33.65,115.3333,66.0,69,98,5.7,AU,1619841600
Meulaboh,4.1363,96.1285,84.96,66,94,3.29,ID,1619841773
Paamiut,61.994,-49.6678,39.47,61,11,10.67,GL,1619841666
Bambous Virieux,-20.3428,57.7575,79.0,78,40,10.36,MU,1619841628
Albany,42.6001,-73.9662,41.0,69,90,4.0,US,1619841623
Sinnamary,5.3833,-52.95,75.24,93,100,6.76,GF,1619841870
Nikolskoye,59.7035,30.7861,39.99,86,0,4.47,RU,1619841599
Punta Arenas,-53.15,-70.9167,42.8,93,75,9.22,CL,1619841599
Airai,-8.9266,125.4092,75.27,48,38,3.74,TL,1619841601
Turia,46.0333,26.05,54.0,85,86,1.99,RO,1619841871
Thompson,55.7435,-97.8558,32.0,100,90,9.22,CA,1619841667
Arraial do Cabo,-22.9661,-42.0278,71.46,64,35,5.12,BR,1619841636
Ahome,25.9167,-109.1833,75.2,60,1,11.5,MX,1619841871
Vardø,70.3705,31.1107,32.41,88,100,17.47,NO,1619841872
Jamestown,42.097,-79.2353,41.0,56,90,17.27,US,1619841511
Butaritari,3.0707,172.7902,83.43,72,76,8.72,KI,1619841599
Hofn,64.2539,-15.2082,34.56,64,100,11.83,IS,1619841662
Hilo,19.7297,-155.09,80.6,61,90,10.36,US,1619841626
Sisimiut,66.9395,-53.6735,33.03,85,100,0.49,GL,1619841872
Shipitsyno,61.2806,46.5208,36.84,97,100,8.52,RU,1619841873
Lagoa,39.05,-27.9833,58.95,75,100,10.51,PT,1619841624
Tautira,-17.7333,-149.15,82.4,74,75,12.66,PF,1619841873
Ostrovnoy,68.0531,39.5131,19.69,74,99,5.59,RU,1619841705
Tuktoyaktuk,69.4541,-133.0374,21.2,79,20,10.36,CA,1619841640
Severo-Kuril'sk,50.6789,156.125,35.44,96,100,21.59,RU,1619841653
Hobart,-42.8794,147.3294,73.4,35,0,6.91,AU,1619841407
Manhattan,40.7834,-73.9662,48.2,53,20,19.57,US,1619841842
Longyearbyen,78.2186,15.6401,12.2,67,20,13.8,SJ,1619841669
Yellowknife,62.456,-114.3525,30.2,100,90,10.36,CA,1619841643
Saint Anthony,45.0205,-93.218,55.99,28,1,6.91,US,1619841714
Mackay,-21.15,149.2,77.0,69,40,23.02,AU,1619841748
Kargasok,59.0556,80.8572,44.01,58,31,13.94,RU,1619841874
Hithadhoo,-0.6,73.0833,84.06,71,82,6.53,MV,1619841681
Bluff,-46.6,168.3333,55.99,73,50,4.0,NZ,1619841678
Ubá,-21.12,-42.9428,62.01,98,77,3.51,BR,1619841875
Aripuanã,-9.1667,-60.6333,70.45,97,46,1.81,BR,1619841875
La Ronge,55.1001,-105.2842,59.0,33,27,8.05,CA,1619841785
Chui,-33.6971,-53.4616,59.83,95,100,6.78,UY,1619841631
Hermanus,-34.4187,19.2345,53.01,78,0,1.01,ZA,1619841635
Jumla,29.2747,82.1838,61.43,54,100,5.77,NP,1619841876
Dikson,73.5069,80.5464,22.3,92,100,11.32,RU,1619841637
Lorengau,-2.0226,147.2712,84.02,73,57,4.12,PG,1619841715
Cabo San Lucas,22.8909,-109.9124,73.0,70,0,1.01,MX,1619841551
Saint Paul Harbor,57.79,-152.4072,46.4,71,1,8.05,US,1619841640
Cidreira,-30.1811,-50.2056,67.89,75,0,17.36,BR,1619841660
Kapaa,22.0752,-159.319,75.2,78,90,12.66,US,1619841639
Tønder,54.9331,8.8667,42.01,90,100,7.87,DK,1619841877
New Norfolk,-42.7826,147.0587,68.0,51,99,3.0,AU,1619841649
Roald,62.5833,6.1333,35.6,87,15,3.44,NO,1619841771
La Orilla,17.9833,-102.2333,76.19,82,70,5.48,MX,1619841878
Sistranda,63.7256,8.834,33.8,93,40,3.44,NO,1619841786
Upernavik,72.7868,-56.1549,23.07,76,100,4.32,GL,1619841635
Sindor,62.8629,51.8905,33.21,96,100,12.53,RU,1619841878
Rāvar,31.2656,56.8055,72.52,38,100,3.29,IR,1619841879
Sobolevo,54.4299,31.8996,40.23,85,100,7.23,RU,1619841879
Norman Wells,65.282,-126.8329,44.6,39,20,11.5,CA,1619841723
Avera,33.194,-82.5271,64.4,63,1,6.91,US,1619841688
Nouadhibou,20.931,-17.0347,66.2,88,0,14.97,MR,1619841707
Port Elizabeth,-33.918,25.5701,55.4,71,0,9.22,ZA,1619841696
Champerico,14.3,-91.9167,66.99,97,34,5.14,GT,1619841880
Rognan,67.0953,15.3878,32.0,85,98,2.82,NO,1619841880
Mala Vyska,48.6431,31.6366,52.57,93,13,7.2,UA,1619841880
Shubarshi,48.5872,57.1869,56.88,37,18,14.05,KZ,1619841880
Kushmurun,52.4503,64.6311,51.64,38,5,4.52,KZ,1619841881
Cabedelo,-6.9811,-34.8339,75.2,94,75,5.75,BR,1619841704
Ancud,-41.8697,-73.8203,55.99,100,90,21.85,CL,1619841661
Ust'-Uda,54.1742,103.0304,48.96,51,99,1.92,RU,1619841881
Benguela,-12.5763,13.4055,78.24,80,87,0.83,AO,1619841882
Nishihara,26.1842,127.7558,82.4,74,75,14.97,JP,1619841750
Coalinga,36.1397,-120.3602,79.0,30,100,3.74,US,1619841882
Hasaki,35.7333,140.8333,73.4,43,75,9.22,JP,1619841540
Mogocha,53.7333,119.7667,53.89,29,28,7.43,RU,1619841882
Codrington,-38.2667,141.9667,73.65,39,100,13.8,AU,1619841648
Iqaluit,63.7506,-68.5145,35.6,75,90,13.8,CA,1619841693
Ozinki,51.1786,49.6769,54.19,49,99,15.73,RU,1619841883
Ust'-Tarka,55.5672,75.705,43.21,45,52,19.71,RU,1619841883
Nouakchott,18.0858,-15.9785,69.8,73,0,17.27,MR,1619841883
Puerto Ayora,-0.7393,-90.3518,74.17,83,2,6.78,EC,1619841602
Aragarças,-15.8975,-52.2508,69.12,92,100,4.21,BR,1619841884
Hede,33.7681,120.2517,65.23,42,8,9.62,CN,1619841884
Saskylakh,71.9167,114.0833,33.12,99,100,7.78,RU,1619841730
Cherskiy,68.75,161.3,22.14,82,81,3.44,RU,1619841749
Saint George,37.1041,-113.5841,82.0,16,1,2.59,US,1619841623
Padang,-0.9492,100.3543,86.0,74,20,4.61,ID,1619841653
São José da Coroa Grande,-8.8978,-35.1478,77.97,78,97,10.96,BR,1619841885
Iskateley,67.6803,53.1512,34.16,75,100,10.36,RU,1619841885
Pevek,69.7008,170.3133,18.3,84,100,15.21,RU,1619841748
Vila Velha,-20.3297,-40.2925,75.99,73,40,9.22,BR,1619841886
Yulara,-25.2406,130.9889,84.2,12,100,9.22,AU,1619841886
Kununurra,-15.7667,128.7333,93.2,24,0,5.75,AU,1619841667
Esperance,-33.8667,121.9,62.6,67,75,9.22,AU,1619841691
Dingle,10.9995,122.6711,90.82,54,90,10.94,PH,1619841886
Mount Isa,-20.7333,139.5,84.2,26,40,10.36,AU,1619841710
Morros,-9.4467,-46.3003,75.45,67,98,3.49,BR,1619841887
Qaqortoq,60.7167,-46.0333,48.2,29,75,29.93,GL,1619841716
Caravelas,-17.7125,-39.2481,75.85,62,100,12.71,BR,1619841887
Manatí,18.4275,-66.4921,73.0,94,2,5.35,PR,1619841887
Tabora,-5.0167,32.8,62.6,88,20,5.06,TZ,1619841888
